timestamp,event_type,player_position
1726259384.5030391,player_moved,"(600, 225)"
1726259384.5186696,player_moved,"(600, 225)"
1726259384.535054,player_moved,"(600, 225)"
1726259384.5618284,player_moved,"(600, 225)"
1726259384.5782797,player_moved,"(600, 225)"
1726259384.6660824,player_moved,"(600, 225)"
1726259384.6793587,player_moved,"(600, 225)"
1726259384.6948965,player_moved,"(600, 225)"
1726259384.7116518,player_moved,"(600, 225)"
1726259384.7275414,player_moved,"(600, 225)"
1726259384.7461734,player_moved,"(600, 225)"
1726259384.7931902,player_moved,"(600, 225)"
1726259384.81023,player_moved,"(600, 225)"
1726259384.825633,player_moved,"(600, 225)"
1726259384.8938327,player_moved,"(600, 225)"
1726259384.9017804,player_moved,"(600, 225)"
1726259384.917761,player_moved,"(600, 225)"
1726259384.9755852,player_moved,"(600, 225)"
1726259384.9915907,player_moved,"(600, 225)"
1726259385.0083826,player_moved,"(600, 225)"
1726259385.0242653,player_moved,"(600, 225)"
1726259385.0521338,player_moved,"(600, 225)"
1726259385.0679429,player_moved,"(600, 225)"
1726259385.1000626,player_moved,"(600, 225)"
1726259385.11634,player_moved,"(600, 225)"
1726259385.1321244,player_moved,"(600, 225)"
1726259385.1521554,player_moved,"(600, 225)"
1726259385.1677887,player_moved,"(600, 225)"
1726259385.1836941,player_moved,"(600, 225)"
1726259385.2186246,player_moved,"(600, 225)"
1726259385.2657773,player_moved,"(600, 225)"
1726259385.282102,player_moved,"(600, 225)"
1726259385.2979617,player_moved,"(600, 225)"
1726259385.3141696,player_moved,"(600, 225)"
1726259385.331127,player_moved,"(600, 225)"
1726259385.3471508,player_moved,"(600, 225)"
1726259385.3877685,player_moved,"(600, 225)"
1726259385.4041548,player_moved,"(600, 225)"
1726259385.419729,player_moved,"(600, 225)"
1726259385.4358082,player_moved,"(600, 225)"
1726259385.452353,player_moved,"(600, 225)"
1726259385.49217,player_moved,"(600, 225)"
1726259385.5328,player_moved,"(600, 225)"
1726259385.5490692,player_moved,"(600, 225)"
1726259385.564637,player_moved,"(600, 225)"
1726259385.5926332,player_moved,"(600, 225)"
1726259385.6087325,player_moved,"(600, 225)"
1726259385.6416101,player_moved,"(600, 225)"
1726259385.6575794,player_moved,"(600, 225)"
